名称,品质,商城价格,商城价格2,具体描述,物品类型
梦境大耳狗,奇珍,1388回声,,第五人格 × 三丽鸥大明星 联动时装,奇珍品质时装
梦境中的爱丽丝,奇珍,1388回声,4888碎片,只有穿越梦境中所有的花园与泥沼，才能找到名为成长的宝物。,奇珍品质时装
梦魇结晶,稀世,1888回声,8388碎片,来自门之钥的水晶，保护菲欧娜免受噩梦伤害，但自身也在慢慢受到侵蚀，当水晶完全腐化后，没人知道会发生何等可怕的变故。,稀世品质随身物品
梦之使者,,1388回声,,人只有在醒来后才能区分梦境与现实，而她的职责，是让人长睡不醒,奇珍时装
密码筒,奇珍,788回声,2988碎片,我想我已经知道了里面是什么，我只是缺乏面对它的勇气。,奇珍品质随身物品
秘密,奇珍,788回声,2988碎片,给植物讲述的秘密永远不会被泄漏。,奇珍品质随身物品
迷你爱哭鬼,,888回声,3188碎片,爱哭爱闹的孩子更需要真切的关心。,奇珍随从
迷你厂长,,888回声,3188碎片,他只会静静地跟着你，就像曾经关切地注视着某人一样。,奇珍随从
迷你锤,奇珍,788回声,2988碎片,快速拆解设备。,奇珍品质随身物品
迷你噩梦,,888回声,3188碎片,,奇珍随从
迷你红蝶,,888回声,3188碎片,蝶舞翩跹，何人品赏，何人可依?,奇珍随从
迷你红夫人,,888回声,3188碎片,王后应随时保持优雅与从容－－无论是在摆弄棋子，还是凝视一盘即将入口的甜点。,奇珍随从
迷你黄衣,,888回声,3188碎片,你不但无法逃避它的注视，更会不自觉地被其吸引。,奇珍随从
迷你记录员,,888回声,3188碎片,,奇珍随从
迷你杰克,,888回声,3188碎片,保持距离是绅士应遵循的礼节，但它总是情不自禁地被猎物的背影所吸引……,奇珍随从
迷你鹿头,,666回声,3188碎片,保持凶狠和冷酷——这是在猎场中生存的第一法则。,奇珍随从
迷你梦之女巫,,888回声,3188碎片,伊德海拉从不跟随任何人，只是信徒向来难逃她的掌控。,奇珍随从
迷你孽蜥,,888回声,3188碎片,他对猎物的执着，可不仅仅限于戏弄。,奇珍随从
迷你摄影师,,888回声,3188碎片,他一直在追寻最精彩的角度，最动人的影像。,奇珍随从
迷你守夜人,,888回声,3188碎片,,奇珍随从
迷你宿伞,,888回声,3188碎片,相生相错的遗憾，是否还有机会弥补。,奇珍随从
迷你小丑,,888回声,3188碎片,谁都不会拒绝一个小小的玩笑，对吧?,奇珍随从
迷你渔女,,888回声,3188碎片,,奇珍随从
迷你愚人金,,888回声,3188碎片,,奇珍随从
迷你蜘蛛,,888回声,3188碎片,在这场游戏中，谁都不需要缝缝补补的体面。,奇珍随从
迷雾山庄,,4888回声,,,户型
民谣乐手,稀世,2888回声,12888碎片,创作的灵感往往来源于一杯麦子酒，或是酒酣之时一枚金币的赌注。,稀世品质时装
名片盒,独特,258回声,968碎片,谁知道什么时候用得上呢？,独特品质随身物品
魔典,稀世,1888回声,8388碎片,"""拿走命运权杖造成的灾难并没有让寻宝贵族得到教训，这本新的魔典会带绐他怎么样的命运呢，让我们拭目以待。""",稀世品质随身物品
模范机器,独特,258回声,968碎片,理想的机器，应该不知疲倦，且从不误时。,独特品质随身物品
模范生,,60回声,,象牙塔中的标尺，不能有一个刻度的偏差。,商城限时时装
摩根勒菲,,2888回声,12888碎片,让世界天翻地覆！,稀世时装
蘑菇圈,,1068回声,3888碎片,亲爱的，站到这儿来，要不要再跳一支舞？,奇珍随身物品
摩尼宝珠手链,奇珍,1068回声,,,奇珍品质随身物品
墨麒麟,,388回声,,麒麟者，为灵昭昭。咏于诗、书于春秋、杂于传记百家，世皆知其为祥，唯识墨麟者鲜矣。有墨色麒麟，乌骨复雪，其友谢氏、范式唤之“思无邪”。,独特随从
魔术猫,独特,258回声,968碎片,上次给大家变了一只兔子，它不是很开心，这次给大家变一只喵咪，希望你能喜欢。,独特品质随身物品
魔物管理人,,1188碎片,318回声,在他的精心规划下，魔物收藏室的一切都井井有条,独特时装
魔音回响,,1388回声,,在琴音的回响中，他掌握了与魔鬼交易的主动权。,奇珍时装
墨韵,奇珍,1388回声,4888碎片,风扫竹墨浅，云笼鹤影孤。,奇珍品质时装
木边浴缸,,950回声,,,家具
目标飞盘,独特,258回声,968碎片,用板球打飞盘并没有什么训练价值，但至少命中的声音很好听。,独特品质随身物品
木柄锉刀,,258回声,968碎片,精心打磨后的工件才能发挥最高效率。,独特随身物品
牧笛,,950回声,4188线索,,奇珍家具
木雕小鹿,独特,258回声,968碎片,被摩挲得逐渐温润的表面，已不再残留过去松枝的气息。,独特品质随身物品
木兰,奇珍,1388回声,4888碎片,万里赴戎机，关山度若飞。,奇珍品质时装
木偶剧场,,2150回声,,所有的齿轮和发条都在骚动着渴求灯光亮起，即便在谢幕之后。,稀世家具
木偶圆桌,,950回声,,摆上木偶之后，就放不下其他什么了。,家具
暮色之花,,2150回声,,,稀世家具
暮野低语,奇珍,788回声,2988碎片,暮色低垂，晚风轻拂，送来自然的低语。,奇珍品质随身物品
墓志铭,,1388回声,,献给自己的墓志铭：“安德鲁·克雷斯，鸢尾凋零，长眠于下。”,奇珍时装
木制书立,独特,258回声,968碎片,左右都是压迫之时，中间才会昂然挺立。,独特品质随身物品
南瓜地毯,,230回声,4188线索,=暗夜藤蔓的光芒如呼吸般闪烁。（2023年万圣节家具）,家具
南瓜吊灯,,950回声,,,奇珍家具
南瓜鬼,,1068回声,3888碎片,她一直犹豫不决，丧失了最后的逃跑机会。,奇珍随身物品
南瓜沙发,,950回声,,,家具
南瓜头饰,,950回声,,,家具
南瓜小灯,,230回声,1088线索,是谁在深夜拿着它前行?(2022万圣节家具),独特家具
男求生者 放礼炮,,98回声,,购买后获得【个性动作】男求生者-放礼炮,个性动作
男求生者 弄雪,,98回声,,弄雪动作，求生者通用,个性动作
男士胸花,独特,258回声,968碎片,“你愿意与我共舞一曲吗？”,独特品质随身物品
尼古拉斯的遗嘱,奇珍,788回声,2988碎片,传说里面藏着不死药的配方,奇珍品质随身物品
逆旅惊魂,奇珍,1388回声,4888碎片,怀揣秘密者以谎言堆砌虚幻的真实，追寻真相者用质问撕裂虚假的伪装。,奇珍品质时装
逆转之战,稀世,1888回声,8388碎片,在这场战斗中，你最多也只能追上我的影子。,稀世品质随身物品
年岁,,1388回声,,想变成风，变成云，变成海燕，去穿过海浪，穿过暴雨，去告诉爸爸妈妈，我在他们看不见的时候悄悄长大。,奇珍时装
黏土皇冠,独特,258回声,968碎片,费了这么大劲，居然只得到一坨黏土，真不值。,独特品质随身物品
鸟巢,独特,258回声,968碎片,爱哭鬼在孤儿院时期获得的鸟巢，是他内心为数不多的温柔,独特品质随身物品
聂莫黎,,2888回声,,聂莫黎夺取魕娘子法力后的装扮。,稀世时装
涅槃,稀世,1888回声,8388碎片,涅槃之火，驱尽灾厄,稀世品质随身物品
凝固的声音,奇珍,788回声,2988碎片,铃舌努力地震颤，却只留下无声的回响。,奇珍品质随身物品
凝结的梦境,奇珍,788回声,2988碎片,下雪了，下雪了，记得时时刻刻提醒自己，别睡去，别睡去，当双眼紧闭，不会是梦乡的甜蜜，最后刹那．唯有夺命的旋律。,奇珍品质随身物品
凝聚之水,奇珍,788回声,2988碎片,瓶中的水不停流动，形成了漩涡，仿佛具有生命一般。,奇珍品质随身物品
凝露,,788回声,2988碎片,夏虫不可以语冰。,奇珍随身物品
牛仔 回响,,288回声,,回响动作,个性动作
牛仔 作诗,,98回声,,作诗动作，牛仔专属,个性动作
农忙,,1188碎片,318回声,难忘农忙时期天边的两朵乌云，和飓风中心的“仲夏夜之梦”。,独特时装
弄影,,1888回声,8388碎片,唤醒人间石火梦，无情悲喜片时中。,稀世随身物品
暖冬记忆,奇珍,1388回声,,暖融融的围巾足以抵御寒冷，她悄悄驻足于花店的窗前：在暖黄的灯光下，父亲和母亲正着手布置着，他们也笑意盈盈。,奇珍品质时装
暖绒,,198回声,968碎片,甘吉小时候收到的玩具，是他行李中为数不多的收藏品。,独特随身物品
懦弱者,,318回声,,被恐惧所支配的人啊，一心渴求维持虚假现状。,独特时装
女仆装,奇珍,988回声,3688碎片,这套衣服套在身上并不合身，但却有种异样的心情……？,奇珍品质时装
女求生者 放礼炮,,98回声,,购买后获得【个性动作】女求生者-放礼炮和“小女孩”个性动作-放礼炮,个性动作
女求生者 弄雪,,98回声,,弄雪动作，求生者通用,个性动作
女士腕花,独特,258回声,968碎片,“我愿意。”,独特品质随身物品
女武神,,2888回声,12888碎片,向前，是加拉尔的征途，后退，是瓦尔哈拉的归处,稀世时装
OPH.JOKER,,1388回声,,Keep on fighting！We are Team OPH！,奇珍时装
OPH.LILY,,1388回声,,Keep on fighting！We are Team OPH！,奇珍时装
OPH.LUCA,,1388回声,,Keep on fighting！We are Team OPH！,奇珍时装
OPH.NAIB,,1388回声,,Keep on fighting！We are Team OPH！,奇珍时装
OPH.QI,,1388回声,,Keep on fighting！We are Team OPH！,奇珍时装
欧律狄刻,稀世,2888回声,12888碎片,你是回忆，还是梦境？,稀世品质时装
拍照的莎莉,,288回声,,Line Friends联动限定家具,独特家具
潘塔龙,,1388回声,,最后一杯阿蒙蒂亚度酒，请与我共饮。,奇珍时装
抛接球,,258回声,968碎片,上啊，威克！,独特随身物品
喷灯,,258回声,968碎片,调小火力来修正细节，调大火力来消灭细节。,独特随身物品
皮纳塔,奇珍,788回声,2988碎片,你也会感到疼痛吗?还是说那破裂流淌出的，并不是你的真心?,奇珍品质随身物品
琵琶,,950回声,4188线索,,奇珍家具
辟邪玩偶,奇珍,1068回声,,,奇珍品质随身物品
票箱,独特,258回声,968碎片,欢迎光临！希望您能够愉快地欣赏接下来的演出。,独特品质随身物品
瓶中的萤火虫,独特,258回声,968碎片,佣兵深知战争的残酷，他知道最难能可贵的是明白这一切，依然对世界充满希望。,独特品质随身物品
破船素描,独特,258回声,968碎片,仅靠一张粗糙的素描，完全无法再现当时的诡异之景。,独特品质随身物品
破损鸟笼,独特,258回声,968碎片,看来这只金丝雀“自由”了。,独特品质随身物品
破阵子,奇珍,1108回声,,千机巧制破敌阵，百日征得功与名，汗雨化金翎。,奇珍品质时装
蒲公英,独特,258回声,968碎片,轻风微拂，蒲公英那象征新生的种子便随风而去,独特品质随身物品
扑克牌,奇珍,788回声,2988碎片,数字与花色在指尖低伏排列，构造出一个诱人踏入的陷阱。,奇珍品质随身物品
起航日,,988回声,,伟大的船长，不会困于缱绻的梦乡。,商城限时时装
起哄,,258回声,968碎片,扔西红柿比扔臭鸡蛋好，洗一洗还能吃。,独特随身物品
漆匠,独特,288回声,1088碎片,病油漆工有着自己对匠心的坚持，那些盛行的涂鸦就有不少源自他引领的风潮,独特品质时装
奇趣美乐蒂,奇珍,1388回声,,第五人格 × 三丽鸥大明星 联动时装,奇珍品质时装
器械小桌,,230回声,,,家具
祈雨珠,稀世,2888回声,12888碎片,沧海遗珠初乍现，一跃龙门贺丰年。,稀世品质时装
祈愿之火,,230回声,1088线索,只要紧紧握在手中，火焰就不会熄灭，希望就永远存在。（2024年“逐浪！夏日运动会”活动系列家具）,家具
千里绘卷,,2888回声,,山水之间，展卷人挥毫泼墨，将千里江山收于画卷——固然作画者已然离去，“青山”将永存于世。,稀世时装
前生忆,独特,258回声,968碎片,那些人，那些事，都已经在沉沙中斑驳。,独特品质随身物品
潜水头盔,独特,258回声,968碎片,戴上头盔，见证真实。,独特品质随身物品
襁褓,,258回声,968碎片,为什么只有我在问为什么？,独特随身物品
强化手臂,奇珍,788回声,2988碎片,给他用的机械强化手臂？谁强化谁？,奇珍品质随身物品
墙面储藏柜,,230回声,,,家具
乔苓,,1388回声,,乔苓的服装。,奇珍时装
晴天娃娃,奇珍,788回声,2988碎片,大都好物不坚牢，彩云易散琉璃脆。,奇珍品质随身物品
清樽,,1888回声,8388碎片,清樽对孤影，杯酒敬月盈。,稀世随身物品
琼楼遗恨,奇珍,1388回声,4888碎片,她性格坚毅，艳光四射，永远知道自己想要什么。,奇珍品质时装
秋枫制服,独特,288回声,,邮差的秋季制服，还带着金灿灿的枫叶装饰。,独特品质时装
秋菊屏风,,230回声,,简洁的木制屏风上装饰着秋菊图案，典雅美丽(2023年春节家具),家具
秋日随想,奇珍,580回声,,给你讲个故事吧：我的风琴在唱秋天的乐曲，我的威克正乘树叶随波旅行。,奇珍品质时装
全冰饮料,,1068回声,3888碎片,哪一个更冰冷？这杯饮料，还是你的心？,奇珍随身物品
痊愈,,1388回声,,"“余愿以此纯洁神圣之心,终身执行余之职务。”",奇珍时装
群首,,2888回声,12888碎片,污水巷，尾巴摇，肉骨香，飘过墙。裁判们，敲饭碗："胜利者，才给粮！"星星疤，是勋章，为根骨头撕破肠。某天乌云吞月亮，疤面一口咬住哨，现在大家排成行，一齐分享肉更香。,稀世时装
群星之泪,独特,158回声,968碎片,瓦尔莱塔早年收到的礼物，这样一份善意却无法改变冰冷的现实。,独特品质随身物品
ROOK-e4,,1188碎片,318回声,被预设的弃子，并不一定，是最早退场的棋子,独特时装
燃烬,奇珍,788回声,2988碎片,火光能照亮前路，对某些人来说也能带来刻骨铭心的苦楚。,奇珍品质随身物品
燃烧的乐章,稀世,1888回声,8388碎片,当演奏这一乐章时，空气中总会莫名出现硫磺与沥青的味道。,稀世品质随身物品
热浪,,318回声,,有着无穷生命力的地狱舞者，慕名跟随奏者而来。她蜷曲的尾巴在舞动中如同火焰在燃烧，随着演出交锋不断升温，翻起阵阵热浪。,独特时装
热气球模型,独特,258回声,968碎片,也许做的再大一些，就可以带着丽莎飞起来了。,独特品质随身物品
认知启迪师,奇珍,838回声,,不止竹香，更有心光，从行为读懂心声，用丰容唤醒本能。<br>（熊猫系列时装）,奇珍品质时装
日晷密钥,奇珍,1068回声,3888碎片,秘密只在知晓它存在之人的口中流传。,奇珍品质随身物品
日月地毯,,230回声,,以星光为线，编织而成的日月地毯（2025年“群星之下的启迪”活动系列家具）,独特家具
日月书柜,,230回声,1088线索,古老的书籍，其中的秘密伴随日月的交替，永恒循环着。,家具
日月相随,,1388回声,4888碎片,永生相随，不复相见。,奇珍时装
Rice,,1388回声,,Rice的礼物。,奇珍时装
融合,独特,318回声,1188碎片,当那些颜色混合在一起，便创造出了一种混沌而扭曲的黑。,独特品质时装
入殓师 捉迷藏,,98回声,,捉迷藏动作，入殓师专属,个性动作
入梦枕,奇珍,788回声,2988碎片,躺卧羽枕之上，梦境便成为短暂重逢的舞台。,奇珍品质随身物品
入梦之刃,独特,258回声,,这把匕首封存了回忆，让过往永远停留在挥出的那一刻。（渔女专属[限定]随身物品，周边礼包获得）,独特品质随身物品
撒玛拉,奇珍,1388回声,4888碎片,每场献祭，都需要牺牲你仅有的，来换取你奢望的。,奇珍品质时装
莎乐美,奇珍,1388回声,4888碎片,你的嘴唇尝起来有一些苦涩，也许，那就是爱情的味道。但那有什么关系呢？我终于吻到你了。,奇珍品质时装
莎莉,,1178回声,,莎莉的礼物。,奇珍时装
沙滩城堡,,230回声,1088线索,,独特家具
沙滩地毯,,950回声,4188线索,,奇珍家具
沙滩雕塑,,950回声,,是谁雕刻出了如此精细的雕塑，却又随风而去（2023年“海岛夏日记”活动家具）,家具
沙滩海豹,,230回声,1088线索,,独特家具
沙滩纪念挂饰,,230回声,,当风来临时，会响起清脆的碰撞声（2023年“海岛夏日记”活动家具）,家具
沙滩镜,,1068回声,3888碎片,不仅能遮挡阳光，还可以用来假装在海边度假。,奇珍随身物品
沙滩沐浴,,2150回声,11688线索,,稀世家具
沙滩企鹅,,230回声,1088线索,,独特家具
沙滩哨台,,230回声,1088线索,,独特家具
沙滩躺椅,,950回声,,难得休闲，摇摇晃晃，畅想时光（2023年“海岛夏日记”活动家具）,家具
沙滩小桌,,230回声,,来一片菠萝，来一个椰子（2023年“海岛夏日记”活动家具）,家具
沙滩小酌,,230回声,1088线索,,独特家具
沙滩椅,,230回声,,小巧的凳子（2023年“海岛夏日记”活动家具）,家具
沙滩长桌,,230回声,,在沙滩上野餐吧（2023年“海岛夏日记”活动家具）,家具
山水泛舟,,1888回声,,山水之间的渔夫日复一日地摆渡，渡过客，渡一生，渡世人。,稀世随身物品
善忘的海马体,,1388回声,,日暮时，雾尼掌心的夕阳随日记一页页变冷，记忆重归空白，顺行性遗忘症患者沉入海底。,奇珍时装
闪耀吊灯,,950回声,,,奇珍家具
蛇岛搭档,独特,60回声,,第五人格×贪吃蛇大作战联动专属时装,独特品质时装
蛇岛友人,独特,60回声,,第五人格×贪吃蛇大作战联动专属时装,独特品质时装
蛇蝎美人,奇珍,1388回声,4888碎片,就像是路德对拿奥米说的那样，你到哪里，我就到哪里。,奇珍品质时装
深暗衣柜,,950回声,4188线索,看到衣柜，不想打开看看，钻进去试试吗？（2023年万圣节家具）,家具
深海餐桌,,950回声,,烛光闪动，触手晃动，空荡的桌面等着你来填满,奇珍家具
深海祝祷,奇珍,1068回声,3888碎片,虎鲸的叫声指引着孤独的影子，祈祷他与灯塔的光重聚。,奇珍品质随身物品
深渊珍宝返场自选礼包,,576回声,,,礼包
圣诞壁灯,,230回声,1088线索,"小小的壁灯,总是让人回忆起最温馨的那个圣诞夜(2022圣诞节家具)",家具
圣诞壁炉,,230回声,1088线索,空气中弥漫着松枝燃烧的气息，朋友们围聚在精心装点的火炉前(2022圣诞节家具),家具
圣诞餐橱柜,,950回声,4188线索,琳琅满目的摆设，装点了安宁、快乐的圣诞夜（2022圣诞节家具）,家具
圣诞茶几,,230回声,1088线索,"被炉火烤得暖融融的室内,最适合一杯热饮或一些甜点(2022圣诞节家具)",家具
圣诞地毯,,230回声,1088线索,在寒冷的冬天使人感到温暖的陈设(2022圣诞节家具),家具
圣诞红桌,,230回声,,,独特家具
圣诞狂鹿,,1388回声,4888碎片,孩子们不要着急，我只是被卡住了，礼物马上就能送到!,奇珍时装
圣诞木马,,230回声,1088线索,被细致打磨的玩具木马，擦拭之后就会光亮如新(2022圣诞节家具),家具
圣诞沙发,,230回声,1088线索,柔软的沙发，坐在上面就会舒适得想打个盹(2022圣诞节家具),家具
圣诞沙龙,奇珍,1388回声,4888碎片,虽不是麋鹿，但这位沙龙的举办者，仍可以奉上梦寐以求的圣诞礼物。,奇珍品质时装
圣诞袜装饰,,230回声,1088线索,,家具
圣诞小树,,230回声,1088线索,把所有的星星和愿望装点其间，人们盼望着清晨的到来(2022圣诞节家具),家具
圣诞驯鹿,,950回声,4188线索,传说中，在圣诞前夜，驯鹿会拉着飞天雪橇载着老人，前往小朋友的家里留下礼物（2023年圣诞节家具）,家具
圣躯,独特,258回声,968碎片,这是受难者们最后的归宿，痛苦将磨砺他们的心智,独特品质随身物品
生日拉炮,奇珍,788回声,2988碎片,"不要问拉炮为谁而放,没一次是为我放的。",奇珍品质随身物品
盛夏飞盘,,2888回声,12888碎片,别在意身上的沙粒和海水，迈开脚步，冲刺——再折返！这才叫夏日好时光。,稀世时装
盛夏光影,,2888回声,12888碎片,相机将体温、脉搏排除在外，纵然能定格盛夏的光影、回忆，也终究是冰冷的。,稀世时装
升学礼,,1388回声,,奖章只是昭示他一路踏过的荆棘，而真正令他欣慰的，是当目光穿透台下——他仍能看见当年求知若渴的自己。,奇珍时装
盛宴,,950回声,4188线索,摩拳擦掌！跃跃欲试！只待……掀开锅盖！（2023年万圣节家具）,家具
盛宴伯爵,稀世,2888回声,12888碎片,伯爵幽居在古堡之中，本能的饥渴已经被空虚和孤独淹没。当所有人逐渐遗忘血族伯爵的名号时，来自古堡的盛宴邀约又掀起了新的风浪。,稀世品质时装
盛宴之杯,,3888碎片,1068回声,即使这次盛满的是红酒，他仍旧是伯爵高贵身份的象征。,奇珍随身物品
圣夜巫师,奇珍,1388回声,4888碎片,凛寒的圣夜里有人轻吟温暖的咒语，编织着梦境与现实交织的奇幻篇章。,奇珍品质时装
失败的杰作,奇珍,788回声,2988碎片,或许我需要一双更灵巧的手，才能赋予它一张完美的面孔。,奇珍品质随身物品
时光相机,,1068回声,,照片中的委托……,奇珍随身物品
时光照相馆之门,,950回声,,,家具
时光之窗,,950回声,4188线索,当你试图抓住一缕光阴时，它已经悄悄从指缝间溜走了。,家具
噬魂,,1888回声,8388碎片,每次挥舞，它都会带走一个灵魂,稀世随身物品
世界之树的祝福,,1068回声,3888碎片,赫瓦格密尔之泉曾经滋养着鲁诺大陆，半精灵带着这最后的纯净之水走访大陆，只为向世界之树寻求心中的答案。,奇珍随身物品
十里芬芳,奇珍,2888回声,12888碎片,梅花香自苦寒来，香囊的芬芳被寒风带向远方，昭示着她的归来,奇珍品质随身物品
逝去的纪念,,1068回声,3888碎片,昨日的智慧之水，依旧浇灌着今日肥沃的智慧之土。,奇珍随身物品
时序,奇珍,1068回声,3888碎片,仅有极少数人能逆转时间的指针，拨动那隐秘的命运之弦。,奇珍品质随身物品
誓言,,3888碎片,1068回声,我愿以自身判断力所及，遵守这一誓约,奇珍随身物品
时轴颤音,奇珍,1388回声,4888碎片,时间会为每一个不曾放弃的颤音，找到属于它的共振频率。,奇珍品质时装
时装 ACE,,1388回声,4888碎片,抢七局，这一次，你会成为胜利者么?,奇珍时装
时装 怪咖,,60回声,,在愚人的乐园里，天才总是格格不入。,商城限时时装
时装 火炮手,奇珍,1388回声,,比起在危机与黑夜中穿行，他更厌恶失去手臂后的颓废生活。好在，探雾任务提供了足够的赏金，也是证明勇者信条的最佳契机。,奇珍品质时装
时装 寄生,,1388回声,4888碎片,这些眼形宝石让他的皮肤看起来闪闪发亮……噢，它们真的在发光!,奇珍时装
时装 女大公,奇珍,1388回声,,作为雾之国唯一的权威，这里的每一枚齿轮都在她的“关怀”下有条不紊地转动。而对于她来说，这百年来的雾是最好的素材，以用来掩藏秘密，书写关于权力、财富、与谜的童话故事。,奇珍品质时装
时装 潘多拉,,318回声,1188碎片,无知之人，可笑的妄想，他不该企图挑战人性。,独特时装
时装 宿醉,,1388回声,,红酒浸染玫瑰宛如某种预兆。酒醒时分，谁会最先察觉灾厄将临?,奇珍时装
时装 忘川渡人,,2888回声,12888碎片,他是引渡灵魂前往彼岸的使者，遵循亘古不变的游戏规则。,稀世时装
时装 星辰,,2888回声,12888碎片,“无论欢愉还是苦痛，相守还是分离，你是否都愿意成为她的伴侣，保护她，陪伴她，分享新生和记忆。直至花朵衰败，星辰消逝。”,稀世时装
十字路口的美少年,奇珍,1388回声,4888碎片,在起雾的十字路口，你可曾遇见过他们？,奇珍品质时装
收藏品,,1388回声,,人们看向待放的花苞，有人看到它盛放的娇艳，有人看到它颓败的凄美。,奇珍时装
手斧,独特,258回声,968碎片,这是清除挡路灌木的好选择。,独特品质随身物品
守墓人 花束,,98回声,,花束动作，守墓人专属,独特个性动作
手术刀,独特,258回声,968碎片,更多的样本，才能支撑起更精准的结论。,独特品质随身物品
首席顾问,,2888回声,12888碎片,人们在十月的庆典上纵情欢笑与跳舞，却不知华丽的帷幕背后究竟藏着怎样的秘密——嘘，你听到它轻盈的步伐了吗？,稀世时装
手摇铃,奇珍,788回声,2988碎片,铃声清脆，摇响的是表演开场的欢愉。,奇珍品质随身物品
守夜人 祝福,,98回声,,祝福动作，守夜人专属，最佳演绎动作,个性动作
手杖伞,独特,258回声,968碎片,他的藏品件件设计精巧，尤其是这把漆黑的手杖伞，传说有位公主曾用它对抗过一个邪恶的画师,独特品质随身物品
手织围巾,独特,258回声,968碎片,不知谁人送来的花朵，在枯萎前被她小心翼翼织进自己的围巾中。,独特品质随身物品
束缚之心,,1068回声,3888碎片,舍弃了最珍贵之物，束缚住内心，她从未觉得不值，心之所向，无怨无悔。,奇珍随身物品
舒适躺椅,,950回声,,,家具
书中蝶,稀世,1888回声,8388碎片,是从未见过的品种！可千万别被他找到。,稀世品质随身物品
蜀中客,,1108回声,,当喜蜀客凌云日，恰逢锦城烂漫时。,奇珍时装
梳妆柜,,230回声,,,家具
双面盗贼,奇珍,1388回声,,攀上鼠窟的顶峰后，他终于瞥见了光明世界的一隅。为了到达梦想中的世界，他决定乔装打扮，踏入危机潜藏的浓雾。,奇珍品质时装
双一,奇珍,1388回声,4888碎片,实际的出生日期是5月3日，诅咒他人时却往往自己倒霉。,奇珍品质时装
水壶包,独特,258回声,968碎片,包中摇晃的清水，陪伴着他度过了最炎热的训练时光。,独特品质随身物品
水晶宫,稀世,1888回声,8388碎片,作为纪念品，这座水晶宫微缩模型寄托了许多回忆和憧憬。,稀世品质随身物品
水龙头,,258回声,968碎片,做完药物实验后一定要洗手。这是经验之谈。,独特随身物品
睡眠伙伴,独特,258回声,968碎片,在许多个夜晚，它陪伴着她一同入梦。,独特品质随身物品
水手哨,独特,258回声,968碎片,在舱里睡觉时，你绝对不想听到它的声音。,独特品质随身物品
睡毯披肩,独特,258回声,968碎片,整理好着装，进入猎场，不要嘲笑我的睡毯，它会在你长眠时派上用场。,独特品质随身物品
瞬逝红颜,独特,258回声,968碎片,它是最有生命感的材质，也是我最易朽坏的作品。,独特品质随身物品
四不像,奇珍,1388回声,,,奇珍品质时装
四季床,,1188回声,4188线索,春夏秋冬，不同时节躺在床上会有截然不同的感受，看来事务所主人对睡眠质量有较高的要求。,家具
斯嘉丽,奇珍,1388回声,4888碎片,一个文明是随风而飘的，终究会散，一个人的命运也会随风而逝。,奇珍品质时装
斯劳格,,1068回声,3888碎片,它灵活地穿梭于暗影之中，时而匍匐时而跳跃，默默寻觅萨温最忠实的信徒。,奇珍随身物品
饲料袋,独特,258回声,968碎片,小鸟意外的青睐，让它除了零钱，还额外装了些其他东西。,独特品质随身物品
撕裂熊,,488回声,1488碎片,咦……谁把你的玩具留在了庄园?,独特随从
司令,,318回声,,第二个问题，猎物的定义，是由猎人决定的么?,独特时装
死灵师,,2888回声,12888碎片,黑暗中的光亮不一定代表希望，那闪烁的绿火是萦绕的死亡。,稀世时装
斯文加利,奇珍,1388回声,4888碎片,他是个能看见皮囊之下真正美丽之处的绅士，但与之共舞并不是什么明智的选择。,奇珍品质时装
司药,稀世,2888回声,12888碎片,司掌百草繁霜鬓，幽居杏林倾丹心。,稀世品质时装
四叶符,奇珍,788回声,2988碎片,传说中遇到四叶草会带来好运，有了四叶符的幸运儿又会有怎样的际遇呢。,奇珍品质随身物品
丝质手套,独特,258回声,968碎片,次要用途是保护手指，主要用途是决斗前扔到对方脸上。,独特品质随身物品
松节油,,60回声,,画布之上，浸透最广的并非是黑白色彩。,商城限时时装
溯光,稀世,2888回声,12888碎片,星海无尽，每一颗星光下似乎都隐藏着许多遗忘的隐秘与过往。,稀世品质时装
宿伞之魂 发红包,,98回声,,发红包动作，宿伞之魂专属,个性动作
宿伞之魂 祝福,,98回声,,祝福动作，宿伞之魂专属，最佳演绎动作,个性动作
宿伞之魂 追忆,,288回声,,追忆动作，宿伞之魂专属,限时个性动作
随从 留声机,,388碎片,,发出的声音都会被收录下来，如果能带着它逃出去，这段录音应该会很珍贵。,罕见随从
碎镜,独特,258回声,968碎片,碎片中映出的，是真实还是幻觉?,独特品质随身物品
碎裂罗盘,独特,258回声,968碎片,斑驳的表面铭刻着它与拥有者共同经历的辉煌。,独特品质随身物品
随身物品 底牌,,788回声,,以狼之名，许我荣光！第五人格职业联赛2025夏季赛冠军成都Wolves战队专属随身物品。,奇珍随身物品
随身物品 里拉琴,独特,258回声,968碎片,将这飘向遥远星空的琴音献给你。,独特品质随身物品
随身物品 潘多拉,稀世,1888回声,8388碎片,神赐的天赋之下，掩盖着无尽的祸水。,稀世品质随身物品
随身物品 葡萄酒,稀世,1888回声,,中原中也的葡萄酒。,稀世品质随身物品
随身物品 天羽,奇珍,1068回声,3888碎片,不再踟蹰的心鼓动着，将柔软的羽毛化作足以刺破天际的光。,奇珍品质随身物品
随身物品 往日时光,奇珍,788回声,2988碎片,巴尔克在整理实验室时发现的水壶，里面竟长满了花草，让他忆起曾经的日子。,奇珍品质随身物品
